Protein FDR Confidence Combined,Master,Accession,Description,% Coverage,# Peptides,# PSMs,# Unique Peptides,MW in kDa,Gene Symbol,"t=24 WT TAZ, Abundance QEX3_1244798","t=24 YT2 TAZ, Abundance QEX3_1244799","t=24 WT YAP, Abundance QEX3_1244800","t=24 YT2 TAZ, Abundance QEX3_1244801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,O15516,Circadian locomoter output cycles protein kaput OS=Homo sapiens OX=9606 GN=CLOCK PE=1 SV=1,1,1,1,1,95.2,CLOCK,,9.33E+04,,1.29E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q32NC0,UPF0711 protein C18orf21 OS=Homo sapiens OX=9606 GN=C18orf21 PE=1 SV=1,3,1,1,1,24.8,C18orf21,5.91E+04,,7.18E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,P56134,"ATP synthase subunit f, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5MF PE=1 SV=3",12,1,1,1,10.9,ATP5MF,3.16E+04,,2.50E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q15014,Mortality factor 4-like protein 2 OS=Homo sapiens OX=9606 GN=MORF4L2 PE=1 SV=1,4,1,1,1,32.3,MORF4L2,1.04E+04,,1.46E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NX02,"NACHT, LRR and PYD domains-containing protein 2 OS=Homo sapiens OX=9606 GN=NLRP2 PE=1 SV=1",1,1,1,1,120.4,NLRP2,3.08E+04,,5.01E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q06587,E3 ubiquitin-protein ligase RING1 OS=Homo sapiens OX=9606 GN=RING1 PE=1 SV=2,3,1,1,1,42.4,RING1,6.28E+04,,1.04E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9H1B5,Xylosyltransferase 2 OS=Homo sapiens OX=9606 GN=XYLT2 PE=1 SV=2,1,1,1,1,96.7,XYLT2,4.27E+04,,6.36E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,O00189,AP-4 complex subunit mu-1 OS=Homo sapiens OX=9606 GN=AP4M1 PE=1 SV=2,4,1,1,1,49.9,AP4M1,4.13E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q8NFU7,Methylcytosine dioxygenase TET1 OS=Homo sapiens OX=9606 GN=TET1 PE=1 SV=2,0,1,1,1,235.2,TET1,4.50E+04,,5.25E+04,2.92E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P61224,Ras-related protein Rap-1b OS=Homo sapiens OX=9606 GN=RAP1B PE=1 SV=1,6,1,1,1,20.8,RAP1B,2.87E+05,,2.45E+05,1.96E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q5H9F3,BCL-6 corepressor-like protein 1 OS=Homo sapiens OX=9606 GN=BCORL1 PE=1 SV=2,1,1,1,1,190.4,BCORL1,,,2.71E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q2V2M9,FH1/FH2 domain-containing protein 3 OS=Homo sapiens OX=9606 GN=FHOD3 PE=1 SV=2,1,1,1,1,158.5,FHOD3,,,2.03E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P49006,MARCKS-related protein OS=Homo sapiens OX=9606 GN=MARCKSL1 PE=1 SV=2,4,1,1,1,19.5,MARCKSL1,2.48E+05,,2.52E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q3B726,DNA-directed RNA polymerase I subunit RPA43 OS=Homo sapiens OX=9606 GN=POLR1F PE=1 SV=1,2,1,1,1,37.4,POLR1F,9.80E+04,,1.07E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8NHQ9,ATP-dependent RNA helicase DDX55 OS=Homo sapiens OX=9606 GN=DDX55 PE=1 SV=3,2,1,1,1,68.5,DDX55,5.51E+04,,6.83E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UN81,LINE-1 retrotransposable element ORF1 protein OS=Homo sapiens OX=9606 GN=L1RE1 PE=1 SV=1,4,1,1,1,40,L1RE1,6.32E+04,,1.21E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q9P253,Vacuolar protein sorting-associated protein 18 homolog OS=Homo sapiens OX=9606 GN=VPS18 PE=1 SV=2,1,1,1,1,110.1,VPS18,,,5.07E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q14257,Reticulocalbin-2 OS=Homo sapiens OX=9606 GN=RCN2 PE=1 SV=1,3,1,1,1,36.9,RCN2,4.17E+04,,8.39E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,P48736,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform OS=Homo sapiens OX=9606 GN=PIK3CG PE=1 SV=3",1,1,1,1,126.4,PIK3CG,,7.83E+04,,3.66E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O14908,PDZ domain-containing protein GIPC1 OS=Homo sapiens OX=9606 GN=GIPC1 PE=1 SV=2,5,1,1,1,36,GIPC1,7.61E+04,,1.01E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q86XI2,Condensin-2 complex subunit G2 OS=Homo sapiens OX=9606 GN=NCAPG2 PE=1 SV=1,1,1,1,1,130.9,NCAPG2,2.87E+04,,4.86E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BXW9,Fanconi anemia group D2 protein OS=Homo sapiens OX=9606 GN=FANCD2 PE=1 SV=2,1,1,1,1,164,FANCD2,,,2.01E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q86WX3,Active regulator of SIRT1 OS=Homo sapiens OX=9606 GN=RPS19BP1 PE=1 SV=1,10,1,1,1,15.4,RPS19BP1,3.61E+04,,7.23E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8NAV1,Pre-mRNA-splicing factor 38A OS=Homo sapiens OX=9606 GN=PRPF38A PE=1 SV=1,3,1,1,1,37.5,PRPF38A,1.73E+05,,4.02E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9H2M9,Rab3 GTPase-activating protein non-catalytic subunit OS=Homo sapiens OX=9606 GN=RAB3GAP2 PE=1 SV=1,1,1,1,1,155.9,RAB3GAP2,,,2.83E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P60900,Proteasome subunit alpha type-6 OS=Homo sapiens OX=9606 GN=PSMA6 PE=1 SV=1,5,1,1,1,27.4,PSMA6,,1.63E+04,,3.44E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P26639,"Threonine--tRNA ligase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TARS1 PE=1 SV=3",2,1,1,1,83.4,TARS1,5.06E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BRD0,BUD13 homolog OS=Homo sapiens OX=9606 GN=BUD13 PE=1 SV=1,2,1,1,1,70.5,BUD13,1.18E+05,,1.70E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8TB61,Adenosine 3'-phospho 5'-phosphosulfate transporter 1 OS=Homo sapiens OX=9606 GN=SLC35B2 PE=1 SV=1,3,1,1,1,47.5,SLC35B2,5.44E+04,,6.42E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q5T0B9,Zinc finger protein 362 OS=Homo sapiens OX=9606 GN=ZNF362 PE=1 SV=1,2,1,1,1,45.8,ZNF362,4.23E+04,2.65E+04,3.91E+04,1.84E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q9BVK6,Transmembrane emp24 domain-containing protein 9 OS=Homo sapiens OX=9606 GN=TMED9 PE=1 SV=2,3,1,1,1,27.3,TMED9,1.48E+05,7.14E+04,1.26E+05,7.29E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15573,TATA box-binding protein-associated factor RNA polymerase I subunit A OS=Homo sapiens OX=9606 GN=TAF1A PE=1 SV=1,2,1,1,1,52.6,TAF1A,1.84E+04,,2.42E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,P02452,Collagen alpha-1(I) chain OS=Homo sapiens OX=9606 GN=COL1A1 PE=1 SV=6,1,1,1,1,138.8,COL1A1,1.60E+04,1.26E+04,1.53E+04,4.16E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8TDB8,"Solute carrier family 2, facilitated glucose transporter member 14 OS=Homo sapiens OX=9606 GN=SLC2A14 PE=2 SV=1",2,1,1,1,56.3,SLC2A14,1.02E+05,,6.98E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62495,Eukaryotic peptide chain release factor subunit 1 OS=Homo sapiens OX=9606 GN=ETF1 PE=1 SV=3,2,1,1,1,49,ETF1,6.93E+04,,8.44E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8WWY3,U4/U6 small nuclear ribonucleoprotein Prp31 OS=Homo sapiens OX=9606 GN=PRPF31 PE=1 SV=2,3,1,1,1,55.4,PRPF31,1.08E+05,2.49E+04,1.40E+05,4.28E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q01955,Collagen alpha-3(IV) chain OS=Homo sapiens OX=9606 GN=COL4A3 PE=1 SV=3,1,1,1,1,161.7,COL4A3,2.58E+05,4.28E+04,2.97E+05,3.18E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O75909,Cyclin-K OS=Homo sapiens OX=9606 GN=CCNK PE=1 SV=2,1,1,1,1,64.2,CCNK,8.45E+04,5.48E+03,8.39E+04,1.10E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q8NBJ5,Procollagen galactosyltransferase 1 OS=Homo sapiens OX=9606 GN=COLGALT1 PE=1 SV=1,1,1,1,1,71.6,COLGALT1,1.40E+05,,1.12E+05,2.63E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q96FB5,Methyltransferase-like protein 25B OS=Homo sapiens OX=9606 GN=METTL25B PE=2 SV=2,5,1,1,1,52.9,METTL25B,1.91E+05,1.37E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O95218,Zinc finger Ran-binding domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ZRANB2 PE=1 SV=2,3,1,1,1,37.4,ZRANB2,1.13E+05,,2.02E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q2KHR3,Glutamine and serine-rich protein 1 OS=Homo sapiens OX=9606 GN=QSER1 PE=1 SV=3,1,1,1,1,189.9,QSER1,,,2.49E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low,Master Protein,Q92698,DNA repair and recombination protein RAD54-like OS=Homo sapiens OX=9606 GN=RAD54L PE=1 SV=2,1,1,1,1,84.3,RAD54L,9.49E+05,1.00E+06,9.22E+05,1.07E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q86U90,Threonylcarbamoyl-AMP synthase OS=Homo sapiens OX=9606 GN=YRDC PE=1 SV=1,4,1,1,1,29.3,YRDC,5.05E+05,,7.11E+05,4.42E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NYH9,U3 small nucleolar RNA-associated protein 6 homolog OS=Homo sapiens OX=9606 GN=UTP6 PE=1 SV=2,2,1,1,1,70.1,UTP6,6.21E+04,,1.24E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BYJ9,YTH domain-containing family protein 1 OS=Homo sapiens OX=9606 GN=YTHDF1 PE=1 SV=1,3,1,1,1,60.8,YTHDF1,3.92E+04,,5.54E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96MU7,YTH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=YTHDC1 PE=1 SV=3,1,1,1,1,84.6,YTHDC1,7.50E+04,7.65E+03,9.45E+04,5.16E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96CU9,FAD-dependent oxidoreductase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=FOXRED1 PE=1 SV=2,2,1,1,1,53.8,FOXRED1,,,5.94E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P20930,Filaggrin OS=Homo sapiens OX=9606 GN=FLG PE=1 SV=3,0,1,1,1,434.9,FLG,4.55E+04,1.75E+04,,2.69E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q9BYE4,Small proline-rich protein 2G OS=Homo sapiens OX=9606 GN=SPRR2G PE=3 SV=1,18,1,1,1,8.2,SPRR2G,,,,1.54E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q9HC36,"rRNA methyltransferase 3, mitochondrial OS=Homo sapiens OX=9606 GN=MRM3 PE=1 SV=2",2,1,1,1,47,MRM3,1.04E+05,7.79E+03,1.60E+05,6.25E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P55884,Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens OX=9606 GN=EIF3B PE=1 SV=3,1,1,1,1,92.4,EIF3B,1.22E+05,,9.87E+04,8.94E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q9Y6K0,Choline/ethanolaminephosphotransferase 1 OS=Homo sapiens OX=9606 GN=CEPT1 PE=1 SV=1,3,1,1,1,46.5,CEPT1,2.48E+04,,3.20E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P09429,High mobility group protein B1 OS=Homo sapiens OX=9606 GN=HMGB1 PE=1 SV=3,7,1,1,1,24.9,HMGB1,1.89E+05,2.87E+04,8.19E+04,2.15E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96M96,"FYVE, RhoGEF and PH domain-containing protein 4 OS=Homo sapiens OX=9606 GN=FGD4 PE=1 SV=2",2,1,1,1,86.6,FGD4,,,6.24E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q00688,Peptidyl-prolyl cis-trans isomerase FKBP3 OS=Homo sapiens OX=9606 GN=FKBP3 PE=1 SV=1,4,1,1,1,25.2,FKBP3,1.04E+05,,9.24E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8N6R0,eEF1A lysine and N-terminal methyltransferase OS=Homo sapiens OX=9606 GN=METTL13 PE=1 SV=1,1,1,1,1,78.7,METTL13,3.10E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q6AWC8,Putative uncharacterized protein LOC100129027 OS=Homo sapiens OX=9606 PE=5 SV=1,7,1,1,1,16.8,,3.41E+05,8.82E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low,Master Protein,Q8NGL6,Olfactory receptor 4A15 OS=Homo sapiens OX=9606 GN=OR4A15 PE=3 SV=3,3,1,1,1,38.8,OR4A15,3.98E+05,3.33E+05,2.35E+05,1.56E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96FS4,Signal-induced proliferation-associated protein 1 OS=Homo sapiens OX=9606 GN=SIPA1 PE=1 SV=1,1,1,1,1,112.1,SIPA1,,,3.10E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q6PD62,RNA polymerase-associated protein CTR9 homolog OS=Homo sapiens OX=9606 GN=CTR9 PE=1 SV=1,1,1,1,1,133.4,CTR9,5.31E+04,,7.67E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q92830,Histone acetyltransferase KAT2A OS=Homo sapiens OX=9606 GN=KAT2A PE=1 SV=3,2,1,1,1,93.9,KAT2A,3.99E+05,8.51E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low,Master Protein,D6REC4,Cilia- and flagella-associated protein 99 OS=Homo sapiens OX=9606 GN=CFAP99 PE=3 SV=2,1,1,1,1,81.8,,1.15E+05,,1.79E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q9Y399,Small ribosomal subunit protein uS2m OS=Homo sapiens OX=9606 GN=MRPS2 PE=1 SV=1,3,1,1,1,33.2,MRPS2,4.36E+04,,6.25E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9H1I8,Activating signal cointegrator 1 complex subunit 2 OS=Homo sapiens OX=9606 GN=ASCC2 PE=1 SV=3,1,1,1,1,86.3,ASCC2,3.48E+04,,5.51E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q17RC7,Exocyst complex component 3-like protein 4 OS=Homo sapiens OX=9606 GN=EXOC3L4 PE=1 SV=2,1,1,1,1,79.8,EXOC3L4,1.36E+05,9.22E+04,,3.27E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P17706,Tyrosine-protein phosphatase non-receptor type 2 OS=Homo sapiens OX=9606 GN=PTPN2 PE=1 SV=2,3,1,1,1,48.4,PTPN2,2.10E+04,,3.12E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8WXX5,DnaJ homolog subfamily C member 9 OS=Homo sapiens OX=9606 GN=DNAJC9 PE=1 SV=1,4,1,1,1,29.9,DNAJC9,2.35E+04,,3.51E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,O60524,Ribosome quality control complex subunit NEMF OS=Homo sapiens OX=9606 GN=NEMF PE=1 SV=4,1,1,1,1,122.9,NEMF,5.56E+05,5.95E+05,6.73E+05,5.26E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,P02788,Lactotransferrin OS=Homo sapiens OX=9606 GN=LTF PE=1 SV=6,1,1,1,1,78.1,LTF,3.66E+04,1.36E+04,,5.33E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O95168,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4 OS=Homo sapiens OX=9606 GN=NDUFB4 PE=1 SV=3,8,1,1,1,15.2,NDUFB4,8.36E+04,,1.06E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P08574,"Cytochrome c1, heme protein, mitochondrial OS=Homo sapiens OX=9606 GN=CYC1 PE=1 SV=3",2,1,1,1,35.4,CYC1,8.21E+04,,5.48E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NXR7,BRISC and BRCA1-A complex member 2 OS=Homo sapiens OX=9606 GN=BABAM2 PE=1 SV=2,4,1,1,1,43.5,BABAM2,,,2.51E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BRX2,Protein pelota homolog OS=Homo sapiens OX=9606 GN=PELO PE=1 SV=2,3,1,1,1,43.3,PELO,3.53E+04,,5.65E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UKG9,Peroxisomal carnitine O-octanoyltransferase OS=Homo sapiens OX=9606 GN=CROT PE=1 SV=2,3,1,1,1,70.1,CROT,3.37E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q02156,Protein kinase C epsilon type OS=Homo sapiens OX=9606 GN=PRKCE PE=1 SV=1,1,1,1,1,83.6,PRKCE,1.06E+05,9.18E+04,7.82E+04,3.83E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,P23467,Receptor-type tyrosine-protein phosphatase beta OS=Homo sapiens OX=9606 GN=PTPRB PE=1 SV=3,1,1,1,1,224.2,PTPRB,2.27E+04,,5.72E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15084,Protein disulfide-isomerase A6 OS=Homo sapiens OX=9606 GN=PDIA6 PE=1 SV=1,2,1,1,1,48.1,PDIA6,5.88E+04,2.42E+04,4.59E+04,3.09E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P14543,Nidogen-1 OS=Homo sapiens OX=9606 GN=NID1 PE=1 SV=3,1,1,1,1,136.3,NID1,3.14E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q8N8Q8,"Cytochrome c oxidase assembly protein COX18, mitochondrial OS=Homo sapiens OX=9606 GN=COX18 PE=1 SV=1",2,1,1,1,37,COX18,6.75E+05,3.86E+05,2.40E+05,1.65E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q8WYA0,Intraflagellar transport protein 81 homolog OS=Homo sapiens OX=9606 GN=IFT81 PE=1 SV=1,2,1,1,1,79.7,IFT81,1.30E+05,,6.87E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q9Y3A4,Ribosomal RNA-processing protein 7 homolog A OS=Homo sapiens OX=9606 GN=RRP7A PE=1 SV=2,3,1,1,1,32.3,RRP7A,6.38E+04,,8.05E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9P016,Thymocyte nuclear protein 1 OS=Homo sapiens OX=9606 GN=THYN1 PE=1 SV=1,4,1,1,1,25.7,THYN1,7.08E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,O43148,mRNA cap guanine-N7 methyltransferase OS=Homo sapiens OX=9606 GN=RNMT PE=1 SV=1,2,1,1,1,54.8,RNMT,1.17E+05,,1.12E+05,1.31E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P42695,Condensin-2 complex subunit D3 OS=Homo sapiens OX=9606 GN=NCAPD3 PE=1 SV=2,1,1,1,1,168.8,NCAPD3,,,7.27E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P14618,Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4,2,1,1,1,57.9,PKM,3.75E+04,,2.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,P55010,Eukaryotic translation initiation factor 5 OS=Homo sapiens OX=9606 GN=EIF5 PE=1 SV=2,3,1,1,1,49.2,EIF5,,,4.30E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O75182,Paired amphipathic helix protein Sin3b OS=Homo sapiens OX=9606 GN=SIN3B PE=1 SV=2,1,1,1,1,133,SIN3B,,2.65E+04,3.36E+04,2.24E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,P42684,Tyrosine-protein kinase ABL2 OS=Homo sapiens OX=9606 GN=ABL2 PE=1 SV=1,1,1,1,1,128.3,ABL2,,,5.56E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q92610,Zinc finger protein 592 OS=Homo sapiens OX=9606 GN=ZNF592 PE=1 SV=2,1,1,1,1,137.4,ZNF592,,,4.77E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q9NVM9,Integrator complex subunit 13 OS=Homo sapiens OX=9606 GN=INTS13 PE=1 SV=2,1,1,1,1,80.2,INTS13,4.07E+04,,4.78E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P08758,Annexin A5 OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=2,3,1,1,1,35.9,ANXA5,6.49E+04,,1.39E+04,6.10E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y3Y2,Chromatin target of PRMT1 protein OS=Homo sapiens OX=9606 GN=CHTOP PE=1 SV=2,5,1,1,1,26.4,CHTOP,5.23E+04,8.08E+03,9.30E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O75382,Tripartite motif-containing protein 3 OS=Homo sapiens OX=9606 GN=TRIM3 PE=1 SV=2,1,1,1,1,80.8,TRIM3,,,3.68E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96C57,Protein CUSTOS OS=Homo sapiens OX=9606 GN=CUSTOS PE=1 SV=2,4,1,1,1,28.2,CUSTOS,6.22E+04,7.91E+03,6.74E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q66K74,Microtubule-associated protein 1S OS=Homo sapiens OX=9606 GN=MAP1S PE=1 SV=2,1,1,1,1,112.1,MAP1S,3.75E+04,,4.10E+04,1.09E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P07384,Calpain-1 catalytic subunit OS=Homo sapiens OX=9606 GN=CAPN1 PE=1 SV=1,1,1,1,1,81.8,CAPN1,,,,5.09E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,P41250,Glycine--tRNA ligase OS=Homo sapiens OX=9606 GN=GARS1 PE=1 SV=3,1,1,1,1,83.1,GARS1,6.07E+04,,4.70E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,A6NC98,Coiled-coil domain-containing protein 88B OS=Homo sapiens OX=9606 GN=CCDC88B PE=1 SV=1,0,1,1,1,164.7,CCDC88B,4.89E+04,,1.43E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q96JP5,E3 ubiquitin-protein ligase ZFP91 OS=Homo sapiens OX=9606 GN=ZFP91 PE=1 SV=1,2,1,1,1,63.4,ZFP91,4.13E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
