Protein FDR Confidence Combined,Master,Accession,Description,% Coverage,# Peptides,# PSMs,# Unique Peptides,MW in kDa,Gene Symbol,t=0; WT TAZ; Abundance 1226503,t=24; WT TAZ; Abundance 1226504,t=36; WT TAZ; Abundance 1226505,t=48; WT TAZ; Abundance 1226506,t=0; Y2 TAZ; Abundance 1226507,t=24; Y2 TAZ; Abundance 1226508,t=36; Y2 TAZ; Abundance 1226509,t=48; Y2 TAZ; Abundance 1226510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O60333,Kinesin-like protein KIF1B OS=Homo sapiens OX=9606 GN=KIF1B PE=1 SV=5,1,2,2,1,204.3,KIF1B,9.44E+04,6.57E+04,1.97E+05,1.38E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q7Z4S6,Kinesin-like protein KIF21A OS=Homo sapiens OX=9606 GN=KIF21A PE=1 SV=2,1,1,1,1,187.1,KIF21A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P33176,Kinesin-1 heavy chain OS=Homo sapiens OX=9606 GN=KIF5B PE=1 SV=1,5,4,4,1,109.6,KIF5B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BW19,Kinesin-like protein KIFC1 OS=Homo sapiens OX=9606 GN=KIFC1 PE=1 SV=2,12,5,5,5,73.7,KIFC1,,8.24E+04,,1.01E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low,Master Protein,Q8WZ60,Kelch-like protein 6 OS=Homo sapiens OX=9606 GN=KLHL6 PE=1 SV=3,1,1,1,1,70.3,KLHL6,2.55E+05,5.27E+05,9.39E+05,7.70E+05,,,1.55E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8IXQ5,Kelch-like protein 7 OS=Homo sapiens OX=9606 GN=KLHL7 PE=1 SV=2,2,1,1,1,65.9,KLHL7,2.13E+05,2.51E+05,5.47E+05,9.34E+05,,,7.52E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y337,Kallikrein-5 OS=Homo sapiens OX=9606 GN=KLK5 PE=1 SV=3,7,1,1,1,32,KLK5,,,,,4.01E+04,,1.62E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q03164,Histone-lysine N-methyltransferase 2A OS=Homo sapiens OX=9606 GN=KMT2A PE=1 SV=5,1,2,3,2,431.5,KMT2A,1.36E+05,9.51E+04,6.40E+05,6.46E+05,,,8.28E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q5T750,Skin-specific protein 32 OS=Homo sapiens OX=9606 GN=XP32 PE=1 SV=1,8,2,9,2,26.2,KPLCE,1.21E+06,,,,8.99E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O00629,Importin subunit alpha-3 OS=Homo sapiens OX=9606 GN=KPNA4 PE=1 SV=1,7,3,8,1,57.9,KPNA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8N9T8,Protein KRI1 homolog OS=Homo sapiens OX=9606 GN=KRI1 PE=1 SV=3,1,1,4,1,82.5,KRI1,3.88E+05,3.65E+05,3.56E+05,6.54E+05,,,5.65E+04,1.25E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P19012,"Keratin, type I cytoskeletal 15 OS=Homo sapiens OX=9606 GN=KRT15 PE=1 SV=3",16,10,118,1,49.2,KRT15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q7Z3Y8,"Keratin, type I cytoskeletal 27 OS=Homo sapiens OX=9606 GN=KRT27 PE=1 SV=2",10,4,51,1,49.8,KRT27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P12035,"Keratin, type II cytoskeletal 3 OS=Homo sapiens OX=9606 GN=KRT3 PE=1 SV=3",12,13,141,1,64.4,KRT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15323,"Keratin, type I cuticular Ha1 OS=Homo sapiens OX=9606 GN=KRT31 PE=1 SV=3",31,13,46,1,47.2,KRT31,,8.87E+06,,3.23E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q92764,"Keratin, type I cuticular Ha5 OS=Homo sapiens OX=9606 GN=KRT35 PE=1 SV=5",9,5,30,1,50.3,KRT35,,2.80E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P19013,"Keratin, type II cytoskeletal 4 OS=Homo sapiens OX=9606 GN=KRT4 PE=1 SV=5",11,6,73,2,56.1,KRT4,,,,,,,4.92E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P08729,"Keratin, type II cytoskeletal 7 OS=Homo sapiens OX=9606 GN=KRT7 PE=1 SV=5",10,7,79,1,51.4,KRT7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O95678,"Keratin, type II cytoskeletal 75 OS=Homo sapiens OX=9606 GN=KRT75 PE=1 SV=2",21,17,174,2,59.5,KRT75,,1.92E+07,,2.83E+05,7.58E+03,,1.57E+05,1.09E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q01546,"Keratin, type II cytoskeletal 2 oral OS=Homo sapiens OX=9606 GN=KRT76 PE=1 SV=2",13,14,159,1,65.8,KRT76,,,,,3.84E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NSB4,"Keratin, type II cuticular Hb2 OS=Homo sapiens OX=9606 GN=KRT82 PE=1 SV=3",8,4,9,2,56.6,KRT82,,1.51E+07,,8.02E+05,3.39E+04,,1.64E+05,1.25E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P78386,"Keratin, type II cuticular Hb5 OS=Homo sapiens OX=9606 GN=KRT85 PE=1 SV=1",19,12,35,2,55.8,KRT85,,1.27E+07,,2.99E+05,,,6.60E+04,4.76E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,A6NCN2,Putative keratin-87 protein OS=Homo sapiens OX=9606 GN=KRT87P PE=5 SV=4,34,11,23,3,29.1,KRT87P,,4.41E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UN81,LINE-1 retrotransposable element ORF1 protein OS=Homo sapiens OX=9606 GN=L1RE1 PE=1 SV=1,18,5,14,5,40,L1RE1,1.85E+06,1.89E+06,1.96E+06,2.69E+06,,,3.57E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q969R5,Lethal(3)malignant brain tumor-like protein 2 OS=Homo sapiens OX=9606 GN=L3MBTL2 PE=1 SV=1,2,1,2,1,79.1,L3MBTL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96JM7,Lethal(3)malignant brain tumor-like protein 3 OS=Homo sapiens OX=9606 GN=L3MBTL3 PE=1 SV=2,2,2,3,2,88.3,L3MBTL3,8.47E+04,1.48E+05,5.33E+05,1.02E+06,,,1.40E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P83111,"Serine beta-lactamase-like protein LACTB, mitochondrial OS=Homo sapiens OX=9606 GN=LACTB PE=1 SV=2",8,3,3,3,60.7,LACTB,1.74E+05,1.78E+05,8.33E+05,6.25E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low,Master Protein,O15230,Laminin subunit alpha-5 OS=Homo sapiens OX=9606 GN=LAMA5 PE=1 SV=8,1,1,1,1,399.5,LAMA5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P55268,Laminin subunit beta-2 OS=Homo sapiens OX=9606 GN=LAMB2 PE=1 SV=2,1,1,1,1,195.9,LAMB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O43813,Glutathione S-transferase LANCL1 OS=Homo sapiens OX=9606 GN=LANCL1 PE=1 SV=1,8,3,3,3,45.3,LANCL1,2.54E+05,5.17E+05,1.02E+06,1.25E+06,,,5.35E+04,2.94E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P28838,Cytosol aminopeptidase OS=Homo sapiens OX=9606 GN=LAP3 PE=1 SV=3,4,2,3,2,56.1,LAP3,,2.62E+05,1.34E+05,,,,4.62E+04,8.53E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q71RC2,La-related protein 4 OS=Homo sapiens OX=9606 GN=LARP4 PE=1 SV=3,2,1,3,1,80.5,LARP4,9.86E+04,9.01E+04,2.56E+05,3.23E+05,,,4.47E+04,4.09E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q4G0J3,La-related protein 7 OS=Homo sapiens OX=9606 GN=LARP7 PE=1 SV=1,7,3,5,3,66.9,LARP7,9.80E+04,3.74E+05,7.56E+05,1.30E+06,,,1.34E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q8NC56,LEM domain-containing protein 2 OS=Homo sapiens OX=9606 GN=LEMD2 PE=1 SV=1,2,1,1,1,56.9,LEMD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y2U8,Inner nuclear membrane protein Man1 OS=Homo sapiens OX=9606 GN=LEMD3 PE=1 SV=2,4,3,5,3,99.9,LEMD3,9.76E+04,,3.47E+05,4.98E+05,,,1.10E+05,1.74E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8WVC0,RNA polymerase-associated protein LEO1 OS=Homo sapiens OX=9606 GN=LEO1 PE=1 SV=1,4,2,5,2,75.4,LEO1,3.46E+05,4.42E+05,1.44E+06,1.76E+06,,,8.23E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P47929,Galectin-7 OS=Homo sapiens OX=9606 GN=LGALS7B PE=1 SV=2,24,3,4,3,15.1,LGALS7; LGALS7B,,3.99E+05,1.24E+05,,1.13E+05,,2.97E+05,8.34E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q9BXB1,Leucine-rich repeat-containing G-protein coupled receptor 4 OS=Homo sapiens OX=9606 GN=LGR4 PE=1 SV=2,1,1,1,1,104.4,LGR4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,P53667,LIM domain kinase 1 OS=Homo sapiens OX=9606 GN=LIMK1 PE=1 SV=3,1,1,1,1,72.5,LIMK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q6P1M3,LLGL scribble cell polarity complex component 2 OS=Homo sapiens OX=9606 GN=LLGL2 PE=1 SV=2,3,1,1,1,113.4,LLGL2,1.26E+05,9.00E+04,2.82E+05,2.87E+05,,,2.37E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BRT6,Protein LLP homolog OS=Homo sapiens OX=9606 GN=LLPH PE=1 SV=1,12,1,1,1,15.2,LLPH,1.86E+05,2.73E+05,1.14E+06,8.30E+05,,,7.08E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P49257,Protein ERGIC-53 OS=Homo sapiens OX=9606 GN=LMAN1 PE=1 SV=2,7,2,2,2,57.5,LMAN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9HBW0,Lysophosphatidic acid receptor 2 OS=Homo sapiens OX=9606 GN=LPAR2 PE=1 SV=3,3,1,1,1,38.7,LPAR2,,,1.27E+05,1.55E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O75427,Leucine-rich repeat and calponin homology domain-containing protein 4 OS=Homo sapiens OX=9606 GN=LRCH4 PE=1 SV=2,7,3,4,3,73.4,LRCH4,1.11E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q07954,Prolow-density lipoprotein receptor-related protein 1 OS=Homo sapiens OX=9606 GN=LRP1 PE=1 SV=2,0,1,1,1,504.3,LRP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8TF66,Leucine-rich repeat-containing protein 15 OS=Homo sapiens OX=9606 GN=LRRC15 PE=2 SV=2,2,1,2,1,64.3,LRRC15,,2.65E+06,,,3.11E+04,,5.42E+05,2.71E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15345,Leucine-rich repeat-containing protein 41 OS=Homo sapiens OX=9606 GN=LRRC41 PE=1 SV=3,6,2,4,2,88.6,LRRC41,4.64E+04,2.23E+05,2.20E+05,2.33E+05,,,7.01E+04,2.31E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8IWT6,Volume-regulated anion channel subunit LRRC8A OS=Homo sapiens OX=9606 GN=LRRC8A PE=1 SV=1,1,1,2,1,94.1,LRRC8A,9.64E+04,1.36E+05,3.15E+05,4.78E+05,,,7.01E+04,2.32E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low,Master Protein,Q5S007,Leucine-rich repeat serine/threonine-protein kinase 2 OS=Homo sapiens OX=9606 GN=LRRK2 PE=1 SV=2,1,1,1,1,285.9,LRRK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q3MHD2,Protein LSM12 OS=Homo sapiens OX=9606 GN=LSM12 PE=1 SV=2,7,1,3,1,21.7,LSM12,1.47E+05,1.70E+05,8.76E+05,,,,8.60E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BX40,Protein LSM14 homolog B OS=Homo sapiens OX=9606 GN=LSM14B PE=1 SV=1,6,2,6,2,42,LSM14B,4.28E+05,5.45E+05,6.62E+05,1.15E+06,,,8.48E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O95777,U6 snRNA-associated Sm-like protein LSm8 OS=Homo sapiens OX=9606 GN=LSM8 PE=1 SV=3,17,1,1,1,10.4,LSM8,,,2.90E+05,4.16E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P02788,Lactotransferrin OS=Homo sapiens OX=9606 GN=LTF PE=1 SV=6,3,2,2,2,78.1,LTF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96GA3,Protein LTV1 homolog OS=Homo sapiens OX=9606 GN=LTV1 PE=1 SV=1,3,1,1,1,54.8,LTV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NQ29,Putative RNA-binding protein Luc7-like 1 OS=Homo sapiens OX=9606 GN=LUC7L PE=1 SV=1,8,3,9,1,43.7,LUC7L,1.63E+05,2.48E+05,6.29E+05,6.92E+05,5.90E+04,,1.19E+05,3.68E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O95232,Luc7-like protein 3 OS=Homo sapiens OX=9606 GN=LUC7L3 PE=1 SV=2,14,4,5,4,51.4,LUC7L3,,3.88E+05,1.27E+06,1.97E+06,,,,3.39E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P07948,Tyrosine-protein kinase Lyn OS=Homo sapiens OX=9606 GN=LYN PE=1 SV=3,8,4,15,2,58.5,LYN,,1.01E+05,,6.14E+05,,,8.82E+04,3.58E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O60299,Leucine zipper putative tumor suppressor 3 OS=Homo sapiens OX=9606 GN=LZTS3 PE=2 SV=1,3,1,1,1,71.7,LZTS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y5V3,Melanoma-associated antigen D1 OS=Homo sapiens OX=9606 GN=MAGED1 PE=1 SV=3,1,1,1,1,86.1,MAGED1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q969L2,Protein MAL2 OS=Homo sapiens OX=9606 GN=MAL2 PE=1 SV=1,6,1,3,1,19.1,MAL2,3.74E+05,2.61E+05,5.26E+05,7.58E+05,4.86E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UKM7,"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase OS=Homo sapiens OX=9606 GN=MAN1B1 PE=1 SV=2",2,1,1,1,79.5,MAN1B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q16706,Alpha-mannosidase 2 OS=Homo sapiens OX=9606 GN=MAN2A1 PE=1 SV=2,1,1,3,1,131.1,MAN2A1,1.79E+05,1.19E+05,2.43E+05,5.31E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q9Y2E5,Epididymis-specific alpha-mannosidase OS=Homo sapiens OX=9606 GN=MAN2B2 PE=1 SV=4,1,1,1,1,113.9,MAN2B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,A6NCE7,Microtubule-associated proteins 1A/1B light chain 3 beta 2 OS=Homo sapiens OX=9606 GN=MAP1LC3B2 PE=1 SV=1,6,1,2,1,14.6,MAP1LC3B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P46734,Dual specificity mitogen-activated protein kinase kinase 3 OS=Homo sapiens OX=9606 GN=MAP2K3 PE=1 SV=2,4,1,1,1,39.3,MAP2K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8IVH8,Mitogen-activated protein kinase kinase kinase kinase 3 OS=Homo sapiens OX=9606 GN=MAP4K3 PE=1 SV=1,2,1,1,1,101.3,MAP4K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q14244,Ensconsin OS=Homo sapiens OX=9606 GN=MAP7 PE=1 SV=1,5,3,4,3,84,MAP7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q3KQU3,MAP7 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=MAP7D1 PE=1 SV=1,2,1,1,1,92.8,MAP7D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,P28482,Mitogen-activated protein kinase 1 OS=Homo sapiens OX=9606 GN=MAPK1 PE=1 SV=3,5,1,1,1,41.4,MAPK1,7.69E+04,6.38E+04,,2.02E+05,,,5.52E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15555,Microtubule-associated protein RP/EB family member 2 OS=Homo sapiens OX=9606 GN=MAPRE2 PE=1 SV=1,4,1,1,1,37,MAPRE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P49006,MARCKS-related protein OS=Homo sapiens OX=9606 GN=MARCKSL1 PE=1 SV=2,7,1,1,1,19.5,MARCKSL1,5.89E+04,,6.61E+04,3.72E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q7KZI7,Serine/threonine-protein kinase MARK2 OS=Homo sapiens OX=9606 GN=MARK2 PE=1 SV=2,8,5,9,5,87.9,MARK2,5.00E+05,5.82E+05,7.54E+05,9.52E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P27448,MAP/microtubule affinity-regulating kinase 3 OS=Homo sapiens OX=9606 GN=MARK3 PE=1 SV=5,3,2,3,2,84.4,MARK3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O95983,Methyl-CpG-binding domain protein 3 OS=Homo sapiens OX=9606 GN=MBD3 PE=1 SV=1,18,4,6,4,32.8,MBD3,2.26E+05,2.93E+05,7.73E+05,1.02E+06,,,1.16E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96N66,Lysophospholipid acyltransferase 7 OS=Homo sapiens OX=9606 GN=MBOAT7 PE=1 SV=2,3,1,1,1,52.7,MBOAT7,2.79E+05,,2.84E+05,7.55E+05,,,4.06E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9HCC0,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial OS=Homo sapiens OX=9606 GN=MCCC2 PE=1 SV=1",4,2,2,2,61.3,MCCC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P49736,DNA replication licensing factor MCM2 OS=Homo sapiens OX=9606 GN=MCM2 PE=1 SV=4,6,4,4,4,101.8,MCM2,1.93E+05,2.70E+05,4.39E+05,1.11E+06,7.82E+04,,1.38E+05,1.88E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96EZ8,Microspherule protein 1 OS=Homo sapiens OX=9606 GN=MCRS1 PE=1 SV=1,4,1,2,1,51.8,MCRS1,2.55E+05,1.13E+06,4.96E+05,5.20E+05,,,2.12E+05,1.77E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8NE86,"Calcium uniporter protein, mitochondrial OS=Homo sapiens OX=9606 GN=MCU PE=1 SV=1",13,3,3,3,39.8,MCU,,5.69E+04,4.83E+05,1.40E+06,,,8.91E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q6P9B6,MTOR-associated protein MEAK7 OS=Homo sapiens OX=9606 GN=MEAK7 PE=1 SV=2,4,1,1,1,51,MEAK7,,1.37E+05,,3.60E+05,,,5.60E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UHV7,Mediator of RNA polymerase II transcription subunit 13 OS=Homo sapiens OX=9606 GN=MED13 PE=1 SV=3,1,1,1,1,239.1,MED13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O60244,Mediator of RNA polymerase II transcription subunit 14 OS=Homo sapiens OX=9606 GN=MED14 PE=1 SV=2,7,6,14,6,160.5,MED14,6.10E+05,7.24E+05,1.87E+06,1.98E+06,,,3.17E+04,1.81E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y2X0,Mediator of RNA polymerase II transcription subunit 16 OS=Homo sapiens OX=9606 GN=MED16 PE=1 SV=2,5,3,5,3,96.7,MED16,1.70E+05,2.14E+05,3.87E+05,6.49E+05,,,,1.71E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NVC6,Mediator of RNA polymerase II transcription subunit 17 OS=Homo sapiens OX=9606 GN=MED17 PE=1 SV=2,9,5,9,5,72.8,MED17,5.83E+05,7.83E+05,1.41E+06,1.48E+06,1.15E+05,,8.83E+04,4.94E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9ULK4,Mediator of RNA polymerase II transcription subunit 23 OS=Homo sapiens OX=9606 GN=MED23 PE=1 SV=2,6,6,10,6,156.4,MED23,1.44E+05,6.19E+05,1.58E+06,1.95E+06,,,2.74E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O75448,Mediator of RNA polymerase II transcription subunit 24 OS=Homo sapiens OX=9606 GN=MED24 PE=1 SV=1,4,3,8,3,110.2,MED24,2.18E+05,3.64E+05,8.73E+05,1.09E+06,,,2.68E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NPJ6,Mediator of RNA polymerase II transcription subunit 4 OS=Homo sapiens OX=9606 GN=MED4 PE=1 SV=1,6,1,2,1,29.7,MED4,1.57E+05,8.85E+04,3.10E+05,5.20E+05,2.76E+05,,7.08E+04,7.42E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q5EB52,Mesoderm-specific transcript homolog protein OS=Homo sapiens OX=9606 GN=MEST PE=1 SV=2,5,1,1,1,38.8,MEST,,3.86E+04,9.85E+04,3.82E+04,,,,9.65E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,P08581,Hepatocyte growth factor receptor OS=Homo sapiens OX=9606 GN=MET PE=1 SV=4,1,1,1,1,155.4,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8N6R0,eEF1A lysine and N-terminal methyltransferase OS=Homo sapiens OX=9606 GN=METTL13 PE=1 SV=1,4,2,2,2,78.7,METTL13,1.01E+05,2.09E+05,3.69E+05,2.67E+05,,,8.01E+04,2.64E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q86U44,N6-adenosine-methyltransferase catalytic subunit OS=Homo sapiens OX=9606 GN=METTL3 PE=1 SV=2,2,1,2,1,64.4,METTL3,,,2.79E+05,,,,8.58E+04,2.47E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,A1L020,RNA-binding protein MEX3A OS=Homo sapiens OX=9606 GN=MEX3A PE=1 SV=1,5,2,2,2,54.1,MEX3A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q08431,Lactadherin OS=Homo sapiens OX=9606 GN=MFGE8 PE=1 SV=3,12,3,7,3,43.1,MFGE8,3.34E+05,4.90E+05,4.40E+05,1.20E+05,,,1.62E+05,7.18E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8IWA4,Mitofusin-1 OS=Homo sapiens OX=9606 GN=MFN1 PE=1 SV=3,2,1,1,1,84.1,MFN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q99735,Microsomal glutathione S-transferase 2 OS=Homo sapiens OX=9606 GN=MGST2 PE=1 SV=1,10,1,1,1,16.6,MGST2,,,,4.64E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q7RTP6,[F-actin]-monooxygenase MICAL3 OS=Homo sapiens OX=9606 GN=MICAL3 PE=1 SV=2,2,3,3,3,224.2,MICAL3,9.06E+04,2.05E+05,4.37E+05,6.64E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low,Master Protein,Q9BPX6,"Calcium uptake protein 1, mitochondrial OS=Homo sapiens OX=9606 GN=MICU1 PE=1 SV=1",1,1,1,1,54.3,MICU1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8IYU8,"Calcium uptake protein 2, mitochondrial OS=Homo sapiens OX=9606 GN=MICU2 PE=1 SV=2",4,1,1,1,49.6,MICU2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
